net,length_um
soc.imem_doutb\[9\],388.24
_03202_,388.08
_03392_,387.61
net108,387.08
_03609_,385.9
_03478_,385.12
_03889_,384.68
net161,383.86
_03238_,383.41
net119,383.08
_03199_,382.94
net273,382.42
_04444_,382.36
soc.imem_doutb\[19\],381.12
_04466_,381.06
soc.imem_doutb\[11\],380.7
net277,380.36
clknet_3_2_0_soc.bspi.b2o.wck,380.18
_03402_,379.28
net622,379.22
_02179_,379.14
_03378_,378.96
_04427_,377.75
_05824_,377.54
_05581_,377.4
_04052_,377.34
_03741_,376.67
_03753_,376.56
net280,375.98
_03664_,375.38
net85,374.94
_04515_,374.78
_03244_,373.73
_03494_,373.14
_03699_,372.89
_04611_,371.62
net617,371.41
_04465_,370.64
_03433_,370.46
_04879_,368.92
soc.core.mi_ad\[2\],368.72
_03248_,368.34
_04097_,368.09
_03213_,367.36
_03707_,367.15
_03249_,367.13
_07225_,366.52
_05484_,366.3
soc.imem_doutb\[18\],366.1
net278,365.9
_03369_,365.07
soc.imem_doutb\[17\],365.02
_04954_,364.36
_03171_,364.175
_04170_,362.7
_04000_,361.31
_03191_,360.96
soc.imem_doutb\[10\],360.36
_05660_,359.99
_03224_,359.845
_04417_,358.88
_02996_,358.86
_03204_,358.79
_03236_,358.61
_03222_,358.22
net612,357.95
net269,357.26
soc.imem_doutb\[13\],357.02
_05243_,356.25
soc.imem_doutb\[15\],355.76
_03190_,355.685
_03996_,355.41
_04488_,354.98
net89,353.62
clknet_2_2_0_soc.bspi.b2o.wck,351.56
_05697_,350.77
_05324_,350.58
_04300_,350.2
_03181_,349.88
net274,349.72
_03246_,349.61
net112,349.16
_03491_,347.97
_03878_,347.92
_03221_,347.31
_03235_,345.1
net267,344.3
net265,343.62
_05918_,343.48
_03533_,342.47
_03374_,342
_04406_,341.04
_05698_,340.195
_03859_,339.03
_03211_,338.23
_03215_,337.29
_06167_,337.09
_03703_,336.17
net272,335.82
soc.imem_doutb\[22\],335.54
_03444_,334.91
_03698_,333.77
_03366_,332.9
_05406_,332.83
net174,332.77
soc.imem_doutb\[12\],332.7
_02972_,332.69
_03260_,332.2
_03748_,331.48
_03201_,331.04
_03170_,329.985
_03368_,329.36
_03856_,329.17
net128,328.2
_03875_,326.82
_03360_,326.55
_03425_,326.49
_03492_,326
_03385_,325.83
net27,324.64
_00164_,324.52
_03401_,324.48
_03766_,324.12
soc.imem_doutb\[14\],324.04
_03359_,323.31
soc.imem_doutb\[21\],322.2
soc.dmem_dout0\[1\]\[0\],321.5
_03751_,321.18
clknet_3_4_0_soc.bspi.b2o.wck,321.1
net270,320.28
_03490_,320.25
_03851_,320.18
_04564_,319.27
_03220_,319.08
_03225_,318.82
_03873_,318.73
_03857_,318.62
net263,318.46
net268,316.22
_03746_,316
_05287_,315.42
_03407_,315.385
_05489_,315.31
_05162_,314.805
_03361_,314.68
_02354_,314.44
soc.core.bch.bch_fn\[0\],314.08
_04128_,313.59
_04941_,313.45
_04781_,313.27
_04414_,312.46
_03212_,312.33
_03365_,311.76
net139,311.26
net261,310.24
_05325_,309.785
_04917_,309.3
_05242_,308.7
_03568_,308.01
_03214_,307.86
_03168_,307.71
net601,307.7
net30,307.2
_03650_,306.76
_03193_,306.36
_04602_,305.54
net29,304.8
_06496_,304.32
_03434_,303.62
_05405_,303.61
_03870_,303.565
net151,302.625
_04459_,302.26
_04420_,301.41
_04742_,297.18
_02275_,296.88
_03761_,295.38
_02312_,295.33
net259,295.3
_05706_,294.98
_03864_,294.56
_04691_,294.16
_03384_,293.9
_04147_,293.59
_04826_,293.13
soc.imem_doutb\[20\],293.06
soc.bcf,292.91
_04196_,292.9
_03436_,292.73
_03216_,292.34
soc.core.bch.bch_fn\[1\],291.1
net266,289.2
_05618_,288.59
_05079_,288.06
_03913_,287.79
_04561_,287.32
clknet_2_3_0_soc.bspi.b2o.wck,287.04
_03553_,285.58
_03572_,285.3
_03239_,285.26
net264,285.18
_03404_,285.125
_04093_,285.01
_03363_,284.66
_03184_,283.25
_03986_,282.03
_05661_,282.02
_06700_,281.96
_04740_,281.34
net257,280.46
_03388_,279.72
_04047_,279.65
_05948_,279.42
_08242_,278.08
_03796_,277.41
_03510_,276.3
_03234_,275.82
_04862_,275.21
_05485_,273.98
net627,273.94
net583,273.84
_07178_,272.88
_02225_,272.33
_04703_,272.28
_05120_,272.22
_03548_,271.56
_02268_,271.32
_03416_,271.2
_04404_,270.56
_02776_,269.96
_03373_,269.46
_03781_,269.14
_03348_,268.34
_03749_,268.06
net262,267.06
_03180_,266.71
net387,266.44
_06086_,265.9
_08171_,265.7
_03867_,265.3
net393,265.04
net435,263.48
_03380_,263.46
_04507_,263.35
net77,262.74
net447,262.52
_03393_,262.36
_03182_,262.29
clknet_2_1_0_soc.bspi.b2o.wck,261.28
net381,261.24
net401,261.24
_04460_,260.84
_02627_,260.79
soc.core.alu.alu_ot\[1\],260.42
_05241_,260.18
_03411_,260.05
_04398_,259.85
net379,259.72
_04431_,259.65
_03451_,259.375
net426,259.12
net448,259.1
_03357_,257.77
_05034_,257.73
_05932_,256.64
soc.imem_dout1\[0\]\[29\],256.56
net395,256.52
_05786_,256.405
_04249_,256.24
net506,256.1
_03571_,255.98
soc.imem_dout1\[0\]\[30\],255.92
_07851_,255.72
net383,255.7
net409,255.66
_03693_,255.445
_03747_,255.365
net411,255.22
net461,255.22
_06006_,255.16
net600,255.07
net399,254.9
net406,254.34
net502,254.28
_05883_,254.06
soc.core.mi_ad\[9\],253.74
net566,253.66
_03294_,253.61
_08144_,253.39
net578,253.26
_06286_,252.8
net398,252.3
_03175_,252.09
net425,252.04
_03173_,252.01
_03765_,251.76
net260,251.58
net428,251.56
_03210_,251.42
net539,251.42
soc.core.mi_ad\[6\],251.34
net524,251.28
net536,251
soc.bios_dout0\[0\]\[27\],250.76
_06366_,250.64
net431,250.42
_04485_,250.15
soc.core.bch.bch_fn\[2\],249.91
_03387_,249.8
soc.bios_dout0\[1\]\[19\],249.79
net389,249.74
net438,249.6
_03177_,249.45
_04091_,249.335
_03905_,249.07
net547,249.04
net365,248.94
net437,248.92
net534,248.92
net417,248.6
net575,248.5
net419,248.3
net364,248.28
net596,247.97
soc.bios_dout0\[1\]\[18\],247.93
_03665_,247.91
net531,247.7
net105,247.6
soc.bios_dout1\[0\]\[14\],247.57
net372,247.56
_05338_,247.52
_07356_,247.415
net440,247.2
_03456_,247.18
net371,247.18
net455,246.76
_03566_,246.62
_03874_,246.46
net369,246.42
net498,246.28
_08145_,246.18
net587,246.12
soc.bios_dout0\[1\]\[13\],246.11
net370,245.96
net520,245.62
_06317_,245.6
net439,245.18
net415,245.12
net525,245.06
net560,245.06
_03475_,245
net376,244.98
_08489_,244.94
net530,244.72
_04216_,244.61
net79,244.56
net403,244.3
net576,244.28
soc.bios_dout0\[1\]\[30\],244.27
_03266_,244.23
net433,244.18
net537,244.18
net514,244.14
net572,244.12
net569,243.98
_03206_,243.97
_02934_,243.9
net413,243.88
_04397_,243.77
net496,243.74
net504,243.72
net538,243.54
net405,243.5
_08143_,243.32
net518,243.1
net430,242.82
net373,242.74
net479,242.72
net258,242.6
net500,242.5
net541,242.28
net436,242.26
net523,242.12
net390,242.1
net528,241.98
net491,241.92
_03560_,241.84
_05164_,241.61
net427,241.6
net494,241.5
net540,241.46
soc.bios_dout1\[0\]\[13\],241.24
net519,241
net564,240.98
soc.bios_dout1\[1\]\[23\],240.83
net421,240.62
soc.bios_dout0\[0\]\[26\],240.61
net508,240.42
net526,240.2
net397,240.12
net452,239.88
net554,239.69
net497,239.52
net429,239.4
net512,239.2
net167,239.1
net529,239
net485,238.88
net474,238.62
net545,238.56
_03862_,238.5
_02180_,238.24
net454,238.1
_08162_,238.02
net420,238
_03396_,237.97
net535,237.9
net551,237.88
net377,237.68
soc.bios_dout0\[0\]\[7\],237.56
net553,237.48
net543,237.36
net558,237.28
net568,237.24
net561,237.06
net444,236.96
net470,236.88
net368,236.7
io_clk,236.56
net185,236.45
net484,236.44
net522,236.38
soc.dmem_dout0\[0\]\[2\],236.22
net363,236.02
net516,235.94
net423,235.72
net573,235.7
_03557_,235.69
soc.bios_dout0\[1\]\[31\],235.06
net467,235.06
_05662_,234.88
net465,234.86
net503,234.86
net432,234.8
net550,234.66
net441,234.56
_02269_,234.54
net480,234.52
net532,234.34
_08142_,234.32
net414,234.28
net565,234.22
net471,234.02
soc.bdto\[18\],233.76
net469,233.66
net422,233.6
net548,233.54
net382,233.52
soc.bios_dout0\[0\]\[5\],233.51
net366,233.46
net501,233.32
net571,233.04
net449,232.76
net510,232.58
net412,232.52
net384,232.5
net396,232.48
soc.bdto\[20\],232.23
net509,232.22
_04195_,232.02
net476,232.02
net464,232
net511,231.98
net481,231.92
_03570_,231.91
net255,231.76
net517,231.72
_04301_,231.67
net499,231.56
net562,231.56
_04915_,231.49
net367,231.44
net416,231.42
net482,231.42
_03149_,231.38
net488,231.32
net385,231.2
net443,231.2
net391,231.16
_03196_,231.13
_05859_,231.06
net515,231.04
net375,230.96
_00350_,230.93
_03195_,230.9
net473,230.88
net424,230.8
net544,230.8
_05619_,230.74
net492,230.64
net567,230.62
net418,230.54
_03804_,230.5
net466,230.42
net527,230.1
net486,230.06
net256,230.02
net400,229.9
_03855_,229.74
net490,229.54
net463,229.26
net552,229.26
net570,229.16
net434,229.14
_03009_,228.89
net487,228.8
net446,228.78
soc.bios_dout0\[1\]\[16\],228.66
soc.bios_dout0\[1\]\[15\],228.63
soc.bios_dout0\[0\]\[8\],228.51
net577,228.5
net477,228.46
_05823_,228.28
soc.imem_doutb\[23\],228.24
_06748_,228.21
net549,228.06
net460,228.04
